epoch,app_rss_kb,helper_rss_kb,app_cpu,helper_cpu
1790284516,70480,13024,19.1,6
1790284547,96880,12704,3.9,1.8
1790284577,108320,11968,6.4,4.5
1790284607,119472,11952,6.5,4.8
1790284637,124336,11952,4.8,3.5
1790284667,132000,11952,5.8,2.4
1790284697,142192,11952,6.6,4.7
1790284727,138048,11984,7,4
1790284757,148672,11936,7.1,5.1
1790284787,155552,11936,11.1,4
1790284817,169872,11936,7.4,5.2
1790284847,176080,11936,7.8,5.2
1790284877,190960,11952,7.5,4.9
1790284907,197184,11968,8.6,5.1
1790284937,203488,11968,8.7,5
1790284967,209680,11968,8.9,5.1
1790284997,209344,11952,5.3,2.3
1790285027,217024,11952,11.3,4.8
1790285057,214272,11920,7.9,2.5
1790285087,237456,11968,4.2,2.1
1790285117,240176,12160,5,2.1
1790285147,240912,12160,4.3,2.1
1790285177,235136,11808,4.6,2.2
1790285207,228288,11824,9.6,5
1790285237,262688,11616,10.1,5
1790285267,268848,12064,9.9,5.3
1790285297,276800,12064,7.6,2.9
1790285328,277280,12032,14.4,4.9
1790285358,287840,12032,6.9,2.5
1790285388,311232,11552,11.8,5
1790285418,286528,11552,5.5,2.1
1790285448,318496,11136,4.7,1.9
1790285478,324752,11120,10.2,2
1790285508,330624,11136,4.9,2
1790285538,332112,11120,11.9,4.8
1790285568,364448,11104,10.2,2
1790285598,370992,11104,11.9,4.9
1790285628,377312,11104,12.4,4.8
1790285658,383440,11120,11.8,5
1790285688,390512,11120,18.7,5
1790285718,397728,11120,12.1,5.2
1790285748,397744,11120,8.6,4
1790285778,397744,11136,10.8,5.1
1790285808,397696,11168,9.9,5.1
1790285838,397696,11168,11,4.6
1790285868,397744,11168,11.3,5.2
1790285898,397744,11168,11.8,5.2
1790285928,397696,11168,11.8,5
1790285958,384880,11152,11.8,4.8
1790285988,396752,11152,9.3,4.5
1790286018,398016,11152,12.7,4.9
1790286048,398320,11152,13,4.9
1790286078,398336,11152,11,4.8
1790286108,398384,11152,11.4,4.9
1790286138,398336,11152,16.4,4.8
1790286168,398576,11152,16.5,4.8
1790286199,398624,11152,11.2,4.9
1790286229,361872,11152,19.1,4.6
1790286259,369552,11152,12.6,4.9
1790286289,370688,11152,13.1,5
1790286319,372992,11152,10.1,5.1
1790286349,372944,11152,9.9,5.1
1790286379,372944,11152,10.1,5.3
1790286409,372944,11152,10.2,5
1790286439,377088,11152,13.8,4.9
1790286469,377088,11152,14.7,5
1790286499,351408,11104,11.2,5.1
1790286529,366944,11104,13,5.5
1790286559,366496,11104,14.8,5
1790286589,366528,11120,13.5,5.3
1790286619,366992,11120,15.5,5.5
1790286649,379264,11424,17,4.4
1790286679,366144,11424,29,4.2
1790286709,317712,11408,31.6,4.6
1790286739,313744,11088,24,3.9
1790286769,321488,11088,7.1,1.9
1790286799,346240,11088,17.5,5
1790286829,342432,11088,6.8,2.2
1790286859,354384,11088,12.1,1.7
1790286889,368816,11088,5.1,1.8
1790286919,367744,11088,4.4,1.8
1790286949,359280,11088,11,4.4
1790286979,359248,11088,4.8,1.8
1790287009,359408,11488,6.7,2.2
1790287039,359424,11488,10.4,4.5
1790287069,284496,11104,6.1,2
1790287100,254528,11072,12.6,4.4
1790287130,279120,11120,7.4,2.4
1790287160,289056,11120,7.7,2.6
1790287190,293728,11072,5.9,2.2
1790287220,277248,11056,5.4,1.9
1790287250,314832,11056,8.9,2
1790287280,328416,11040,5,2.1
1790287310,326112,11024,5.1,2.1
1790287340,332480,11056,14.8,5.3
1790287370,326016,11056,5.9,2.1
1790287400,352832,11072,11.6,5
1790287430,359040,11072,6.9,2.2
1790287460,365168,11072,13.5,5.2
1790287490,387712,11088,10.3,4.4
1790287520,395216,11088,11.4,5.2
1790287550,395408,11088,10.6,5.2
1790287580,364544,11088,4.6,2.1
1790287610,350608,11072,4.5,2
1790287640,362096,11088,4.4,2
1790287670,286640,11104,9.2,3.8
1790287700,267648,11104,4.9,2.1
1790287730,298032,11104,13.4,5.4
1790287760,302528,11088,13.3,5.2
1790287790,305616,11072,19.8,5.7
1790287820,312944,11136,20.6,5.8
1790287851,318848,11136,25.3,5.5
1790287881,325760,11136,14.1,5.5
1790287911,336016,11136,14.6,4.6
1790287941,346160,11136,14.9,5
1790287971,352160,11152,17.6,5.9
1790288001,341440,11152,28.9,5.1
1790288031,364048,11184,16.1,5.7
1790288061,370064,11184,25.4,5.8
1790288091,376176,11184,16.9,5.8
1790288121,382144,11184,16.8,5.9
1790288151,382144,11184,13.9,5.5
1790288181,382144,11184,15,5.8
1790288211,373328,11184,14.4,5.6
1790288241,373376,11184,15.1,5.9
