epoch,app_rss_kb,helper_rss_kb,app_cpu,helper_cpu
1790238281,144064,13824,11.0,4.7
1790238311,158176,12048,10.5,4.9
1790238341,164320,12176,12.5,5.0
1790238372,170736,11968,13.1,4.2
1790238402,172208,11952,10.2,4.9
1790238432,182720,11936,16.2,5.2
1790238462,192928,11936,9.1,2.2
1790238492,200848,11936,10.0,2.8
1790238522,213472,11936,13.5,4.0
1790238552,219504,11888,12.0,4.7
1790238582,216128,11904,7.8,4.5
1790238612,206272,11904,14.8,5.1
1790238642,233936,11904,14.2,4.7
1790238672,248432,11920,15.2,5.1
1790238702,254896,11936,13.9,5.0
1790238732,265680,11952,21.0,4.9
1790238762,271808,11952,16.3,5.4
1790238792,278816,11968,26.5,3.3
1790238823,284912,11952,9.9,4.9
1790238853,292320,12432,19.3,4.9
1790238883,310880,12288,16.7,5.4
1790238913,316848,12128,17.4,5.2
1790238943,322912,12128,17.6,5.6
1790238973,329040,12096,19.9,5.7
1790239003,311248,12112,13.6,5.7
1790239033,334016,12112,27.3,5.9
1790239063,336448,12112,9.3,6.0
1790239093,338224,12112,8.7,5.7
1790239123,342336,12112,19.6,5.7
1790239153,363152,12112,13.8,5.3
1790239183,370640,12128,15.3,5.5
1790239213,400240,12128,11.6,5.6
1790239244,389040,12128,9.6,5.3
1790239274,392048,11728,17.9,4.4
1790239304,246432,11760,5.5,5.0
1790239334,262816,11744,7.0,4.8
1790239364,270864,11744,12.9,4.7
1790239394,260768,12080,13.8,4.6
1790239424,228800,12304,6.9,5.0
1790239454,269312,12208,14.4,5.1
1790239484,281904,12208,15.4,5.5
1790239514,305456,12208,14.6,3.9
1790239544,314944,12208,12.5,5.2
1790239574,316784,11712,15.6,3.6
1790239604,327344,11728,15.3,3.8
1790239634,345824,11728,32.4,2.6
1790239664,348672,11744,11.5,5.1
1790239694,342144,11760,16.4,3.1
1790239724,355184,12080,16.8,3.1
1790239755,355488,11728,18.7,5.0
1790239785,364400,11728,18.8,4.5
1790239815,369232,11728,21.1,5.3
1790239845,369232,11728,9.5,5.7
1790239875,369280,11728,11.8,5.6
1790239905,369424,11728,23.2,5.6
1790239935,367712,11728,14.9,5.3
1790239965,255344,11728,8.1,4.9
1790239995,252576,11728,7.1,5.3
1790240025,279104,11728,11.9,4.3
1790240055,285120,11728,8.0,5.6
1790240085,282016,11728,10.5,5.2
1790240115,304928,11728,6.6,5.8
1790240145,294384,11744,6.3,4.8
1790240176,313104,11744,19.8,4.3
1790240206,319168,11744,22.6,5.0
1790240236,325200,11744,16.1,5.1
1790240266,331376,11712,11.1,3.7
1790240296,341264,11728,16.6,2.4
1790240326,345216,11728,10.5,4.8
1790240356,348448,11728,16.6,4.3
1790240386,366816,12128,14.0,2.8
1790240416,371456,12080,22.5,4.0
1790240446,371440,12080,15.4,3.7
1790240476,371456,12080,12.8,3.5
1790240506,371520,12080,10.6,4.4
1790240536,371520,12080,14.9,3.2
1790240566,371520,12080,16.8,4.4
1790240596,371488,11776,15.2,4.0
1790240626,371504,11728,12.0,4.6
1790240657,371552,11728,11.6,3.6
1790240687,352784,11728,14.0,4.1
1790240717,353040,11728,14.2,4.1
1790240747,357152,11728,15.8,4.4
1790240777,313344,11728,15.0,4.7
1790240807,309536,11744,15.6,4.6
1790240837,320224,11744,7.1,4.0
1790240867,290944,11744,6.1,4.0
1790240897,334096,11744,5.3,3.5
1790240927,341040,11744,10.5,3.7
1790240957,349312,11728,5.8,4.1
1790240987,347472,12000,14.0,4.4
1790241017,354896,11968,5.1,4.0
1790241047,343296,11968,7.4,5.2
1790241077,343296,10896,6.1,3.8
1790241107,348720,10704,5.3,2.4
1790241138,336480,10720,9.5,2.2
1790241168,354160,10688,10.8,2.1
1790241198,354240,10704,12.6,2.1
1790241228,354416,10720,5.3,2.1
1790241258,354544,10704,10.1,2.2
1790241288,354560,10736,7.8,5.1
1790241318,354656,10736,6.2,3.9
1790241348,298800,10736,12.1,4.7
1790241378,304896,10736,13.8,4.2
1790241408,311056,8432,13.3,3.8
1790241438,319712,9008,26.4,4.6
1790241468,326256,9008,12.1,5.2
1790241499,332416,9008,20.0,2.3
1790241529,338640,9008,14.5,2.7
1790241559,326128,9008,7.6,4.2
1790241589,345856,9008,15.8,4.0
1790241619,353584,9008,5.7,2.8
1790241649,353584,8768,9.4,4.5
1790241679,353536,8768,8.5,4.8
1790241709,353536,8768,17.8,5.0
