epoch,app_rss_kb,helper_rss_kb,app_cpu,helper_cpu
1790243910,65104,13008,13.4,5.4
1790243940,74496,10976,4.2,3.9
1790243970,85664,13568,5,2.5
1790244000,100272,13568,5.2,2.1
1790244030,97456,12080,5.1,2.2
1790244060,116992,12096,7.4,4.3
1790244090,122544,12272,4.9,2.2
1790244120,130880,12272,6,2.1
1790244150,139936,12256,6.6,2.7
1790244180,130800,11952,5.2,2.4
1790244210,147456,11952,9.2,4
1790244240,153312,11968,8.8,4.1
1790244270,163984,11968,5.5,1.9
1790244301,174448,11968,4.5,1.8
1790244331,180560,11968,10.4,2.9
1790244361,186192,11952,6.3,2.8
1790244391,188096,11952,5.4,1.9
1790244421,202592,11952,4.7,2
1790244451,201472,11952,11.5,3.5
1790244481,216432,11968,7.8,2.6
1790244511,212448,11936,9,3.3
1790244541,228352,11936,8.5,1.9
1790244571,237856,11936,8.6,3
1790244601,239712,11936,13.7,3.2
1790244631,246032,11936,13.4,4.2
1790244661,261712,11936,9.1,3.6
1790244691,268800,12224,9.5,3.5
1790244721,275056,12224,9.7,4
1790244735,277952,12320,9.8,3.2
