epoch,app_rss_kb,helper_rss_kb,app_cpu,helper_cpu
1790283690,82912,13104,26.1,5.8
1790283720,102512,11328,3.2,3.3
1790283750,116032,13312,8.8,4.4
1790283780,116112,13040,9.6,4.6
1790283810,126560,13040,9.6,4.7
1790283840,136912,13040,6.8,4.6
1790283870,143936,13056,6.9,3.9
1790283900,151280,13056,6.3,3.3
1790283930,157616,13056,9.7,3.9
1790283960,167968,13056,7,3.8
1790283990,174368,13056,5.4,2.8
1790284020,176688,12864,5.2,1.9
1790284050,187552,12480,9.2,4
1790284080,195840,11920,7.5,1.6
1790284111,202608,11920,4.7,1.6
1790284141,199680,11920,4.1,1.6
1790284171,215280,11888,5.8,1.6
1790284201,203936,11888,8.3,3.9
1790284231,223632,11888,4.2,1.6
1790284261,229744,11888,9.6,3
1790284291,236128,11904,6.6,2.4
1790284321,251264,12160,9.3,1.9
1790284351,261840,12160,10.7,4.2
1790284382,272176,12160,6,1.9
1790284412,281744,12160,10.9,4.1
1790284442,290192,12160,11.4,4
1790284472,282864,12272,4.4,1.7
1790284502,300592,12272,5,1.8
